Genotypes,Leaf length ,PLANT HEIGHT,NO. OF LEAF,seed weight,fresh weight of tuber,dry weight of tuber,Tuber length,number of flower,number of fruit,number of seed/fruit
AH-738,5.615555556,22.62444444,10.33111111,2.151666667,1.9,0.27,2.833333333,9.53,8.356666667,17.06166667
 AH-739,6.28,24.58222222,11.32222222,2.201666667,2.3,0.33,3.5,7.9,6.716666667,13.115
 AH-740,5.917777778,23.17777778,10.79777778,2.155,2,0.32,3.166666667,10.2,9.1,18.96666667
 AH-741,8.726666667,31.05555556,28.81111111,3.775,3.133333333,1.246666667,5.9,7.843333333,6.968333333,15.26666667
AH-742,6.573888889,27.85777778,13.07777778,2.651666667,2.566666667,0.37,3.833333333,10.05333333,8.831666667,16.695
 AH-743,6.513333333,26.53555556,12.92222222,2.405,2.266666667,0.36,3.5,14.53333333,13.2,22.7
 AH-744,5.761111111,22.92444444,10.64444444,2.221666667,1.9,0.3,2.966666667,12.39666667,11.14666667,20.76666667
AH-745,6.582222222,28.33555556,13.3,2.818333333,2.6,0.38,3.966666667,8.066666667,7.18,15.28333333
 AH-746,6.366666667,25.34888889,12.38888889,2.238333333,2.25,0.346666667,3.5,8.381666667,7.548333333,15.88166667
 AH-747,4.457777778,19.84666667,9.877777778,2.24,1.7,0.24,2.533333333,8.128333333,7.445,15.74833333
 AH-748,6.048888889,23.87777778,10.91555556,2.206666667,2.1,0.32,3.433333333,29.68666667,24.97,43.78333333
 AH-749,5.043333333,21.74,10.00333333,2.141666667,1.766666667,0.27,2.733333333,10.09,9.223333333,18.03333333
